date,headline,sentiment
2026-06-24,Oura Ring 4 is 51% off this Prime Day — that’s a discount of over $200,0.0
2026-06-24,The sordid revelations about Bill Gates' affairs make me want to throw up. His STD fears… the age gaps… the truth is just so sick: LIZ JONES,-0.3902
2026-06-24,Aeronaut Cinematic Texture Generator Now Available,0.0
2026-06-24,Refurb/Excellent: 49mm Apple Watch Ultra 2 GPS + Cellular (Titanium/White) $339.15 + Free S&H,0.5106
2026-06-24,I’ve covered Prime Day for 7 years — these are the 271+ best day 2 deals worth shopping (live updates),0.7269
2026-06-24,This durable Lexar SSD is perfect for content creators and it's 26% off during Prime Day,0.5719
2026-06-24,Proposed 3-team trade proposal sends Cardinals pass rusher to Bears,0.0
2026-06-24,"PSA: AirPods Max 2 for $399 are almost sold out, plus more AirPods deals",0.0
2026-06-24,4-Pk Insignia iOS Apple Find My App Locator Tag (White) $15 + Free S&H,0.5106
2026-06-24,I’ve Gathered Over 60 Best Buy Prime Day Alternative Deals That Are Too Good to Ignore,0.6808
2026-06-24,Beat the Prime Day Rush With These 60+ Best Buy Deals That Are Too Good to Ignore,0.6808
2026-06-24,Apple AirPods Max (USB-C) Brand New $629 (RRP $849) Delivered @Phonebot,0.0
2026-06-24,"Michael Wilson, Jacoby Brissett involved in crazy trade proposal",-0.34
2026-06-24,Ethereum Doesn’t Know What It’s Supposed to Be Anymore,0.0
2026-06-24,"Casting News: The Boys Star Joins Invincible, Monarch Spin-Off Adds Game Of Thrones Alum, And More",0.4939
2026-06-24,2010 BMW M3 Sedan 6-Speed,0.0
2026-06-24,2027 BMW X6 Gets Pricier While the New X5 Moves On,0.0
2026-06-24,Smashing Security podcast #473: How a hacker could have Rickrolled the entire World Cup,0.34
2026-06-24,Conan The Barbarian First Look: Genndy Tartakovsky Reveals His Take On Robert E. Howard Fantasy Icon,0.0
2026-06-24,"Miss Americana Getting Hitched At MSG? Taylor Swift & Travis Kelce Wedding Looks Set For Next Month, Or Not",0.0516
2026-06-24,Get Windows 11 For Just $14 And Microsoft Office From Less Than $18 With These Software Deals,0.0
2026-06-24,"$799 Apple MacBook Pro clone gets Core Ultra 9 CPU, huge 100WHr battery, promises 24Hr battery life, and Linux compatibility",0.5994
2026-06-24,24k-Mile 2017 Mercedes-Benz E400 4MATIC Wagon at No Reserve,-0.296
2026-06-24,"Dodgers on Deck: Friday, June 26 at Padres",0.0
2026-06-24,Paris Johnson extension could come next month,0.0
2026-06-24,Prime Day Alternatives Are Here: Shop 50+ Standout Walmart Deals Right Now,0.0
2026-06-24,2023 Volvo V60 T8 Polestar Engineered,0.0
2026-06-24,Get These Four Wireless Security Cameras Pack For A Massive 50% Off During Prime Day,0.34
2026-06-24,Apple Pie Egg Rolls,0.0
2026-06-24,Classic,0.0
2026-06-24,"AI chatbots show left-wing bias, bombshell report finds — with ChatGPT giving lefty answers 80% of time",0.25
2026-06-24,30k-Mile 1996 Chevrolet Corvette Coupe Collector Edition at No Reserve,-0.296
2026-06-24,2003 Land Rover Discovery II SE7 at No Reserve,-0.296
2026-06-24,Monitor Your Trails With 71% Off This 4G Solar-Powered Camera,0.0
2026-06-24,"One memory to rule them all? Key partner to Nvidia, ASML and TSMC brings next-gen RAM and NAND replacements even closer",0.0
2026-06-24,Modified 2018 Mercedes-Benz SL450,0.0
2026-06-24,Getty’s Deal With OpenAI Leaves IP Issues Open,0.0
2026-06-24,Micron is tech's new margin king as memory crisis pushes company past Nvidia and Meta,-0.6249
